Keyword
as
break
callable
case
catch
class
clone
const
continue
declare
default
do
echo
else
elseif
endif
endswitch
endwhile
fn
for
foreach
function
global
goto
if
implements
include
include_once
instanceof
insteadof
interface
new
or
print
private
protected
public
require
require_once
return
static
switch
throw
trait
try
var
while
xor
yield
